2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-When
2026-09-03 14:32:30.979 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-RuleSet-Branch]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-RuleSet-Branch
2026-09-03 14:32:30.979 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Service-MCP]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.979 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Service-MCP
2026-09-03 14:32:30.980 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Application-BusinessAction]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.980 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Application-BusinessAction
2026-09-03 14:32:30.980 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Application-Case]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.980 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Application-Case
2026-09-03 14:32:30.981 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Unit-Case]: autoDerived=[pyClassContext, pyRefToFocusKey, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyClassContext=pyClassName, pyRefToFocusKey=pyPurpose}, functionTemplates=0
2026-09-03 14:32:30.981 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Unit-Case
2026-09-03 14:32:30.981 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-UI-Theme]: autoDerived=[pyInitialVersion, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[pyInitialVersion], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.981 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-UI-Theme
2026-09-03 14:32:30.981 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-UI-View]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.981 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-UI-View
2026-09-03 14:32:30.981 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - RuleTypeBuilderRegistry initialized: 34 builder(s): [Rule-Edit-Validate, Rule-Obj-When, Rule-Obj-Property, Rule-Notification, Rule-RuleSet-Branch, Rule-Obj-FieldValue, Rule-Obj-Validate, Rule-CorrType, Rule-UI-View, Rule-Test-Unit-Case, Rule-Connect-GenerativeAI, Rule-Decision-DataSet, Rule-Obj-Flow, Rule-Obj-Report-Definition, Rule-Async-JobScheduler, Rule-Obj-AttachmentCategory, Rule-Obj-CaseType, Rule-UI-Theme, Rule-Async-QueueProcessor, Rule-AI-Agent, Rule-Obj-ServiceLevel, Rule-Test-Application-BusinessAction, Rule-Obj-Activity, Rule-Test-Application-Case, Rule-Service-MCP, Rule-Declare-DecisionTable, Rule-Obj-FlowAction, Rule-Obj-Class, Rule-Obj-Corr, Rule-Connect-REST, Rule-ClassMetadata, Rule-Declare-Pages, Rule-Obj-Model, Rule-AI-Tool]
